Name,URL,Options
Bottles--Hair Spray,https://www.world.org/reuse/bottles,"Use the cap and an index card to trap spiders and let them out of the house.;WASH
thoroughly and fill with homemade window/glass cleaner.;WASH thoroughly, fill with
water,
and use for misting plants.;Fill with soapy water and keep by the area in your house which has been
infiltrated by ants.  It is messier than traps, but safer than poison."
Bottles--Hand Cream,https://www.world.org/reuse/bottles,"Refill the smaller sized bottles (the sample/travel size) with hand cream                     
from your house and keep in it your purse or take it with you when you travel.;Fill the smaller sized bottles with aspirin for your purse, book bag,                      
suitcase, etc."
Bottles--Household,https://www.world.org/reuse/bottles,"Use detergent, fabric
softener or shampoo bottles filled with USED motor oil for lubricating drive chains.  (Nick);Fill glass cleaner bottles with soapy water and keep by the area in your
house which has been infiltrated by ants.  It is messier than traps, but safer than poison.;Cut the top part off of a liquid laundry detergent container.  Use the main
part as a pooper scooper and the top portion as the pusher.  Empty, rinse and reuse.  (Barb)"
Bottles--Mouthwash,https://www.world.org/reuse/bottles,"Use the lids as reusable ""paper cups"" for the bathroom."
Bottles--Perfume/cologne,https://www.world.org/reuse/bottles,"Fill with colorful liquids and give to children for playing ""store.""  Be sure
that children don't stain their clothes with the color.  (Tschuege)"
Bottles--Shampoo,https://www.world.org/reuse/bottles,"Make it into a vase.  Partially fill it with marbles, stones                     
or something fairly heavy to keep it from tipping.  Then paint it to                      
match your decor.;Remove the cap, cut off the bottom, and use it for a funnel.;Refill the smaller sized bottles (the sample/travel size) with hand cream                     
from your house and keep in it your purse or take it with you when you travel.;Refill the smaller sized bottles (the sample/travel size) with shampoo                     
from your house and keep in it your purse or take it with you when you travel.;Fill the smaller sized bottles with aspirin for your purse, book bag,                      
suitcase, etc.;Fill with sand, rocks, marbles, etc. and use as weights.  Different sized bottles 
can be used to make different sized weights."
Bottles--Beverage (Glass),https://www.world.org/reuse/bottles,"Use an old beer bottle as a candle holder--the wax dripping over the side will make pretty
designs.  Keep an eye on it to make sure nothing burns.  (Jon);Fill a clear glass bottle with small candies.;Make a wine bottle into a vase.;Use a larger wine bottle as a bank.;Fill with water and freeze.  They make nice ""blue ice"" for                      
coolers--especially longer trips.  Don't forget to leave room for the                     
expanding water.;Give it to your puppy.  It becomes a (noisy) toy!  (My Dog);Make it into a vase.  Partially fill it with marbles, stones                     
or something fairly heavy to keep it from tipping.  Then paint it to                      
match your decor.;Fill with colored sand and use as a doorstop.;Use to make your own bottled water.;Use large, sports drink bottles as pitchers for juice at home (Glamour Gal).;Ketchup, mustard, etc bottles make cheap, short-range squirt guns.;Use old plastic bottles (such as syrup bottles) for storing homemade ice-cream sauce or other
homemade food.  (Rae);Use the cap and an index card to trap spiders and let them out of the house.;WASH
thoroughly and fill with homemade window/glass cleaner.;WASH thoroughly, fill with
water,
and use for misting plants.;Fill with soapy water and keep by the area in your house which has been
infiltrated by ants.  It is messier than traps, but safer than poison.;Refill the smaller sized bottles (the sample/travel size) with hand cream                     
from your house and keep in it your purse or take it with you when you travel.;Fill the smaller sized bottles with aspirin for your purse, book bag,                      
suitcase, etc.;Use detergent, fabric
softener or shampoo bottles filled with USED motor oil for lubricating drive chains.  (Nick);Fill glass cleaner bottles with soapy water and keep by the area in your
house which has been infiltrated by ants.  It is messier than traps, but safer than poison.;Cut the top part off of a liquid laundry detergent container.  Use the main
part as a pooper scooper and the top portion as the pusher.  Empty, rinse and reuse.  (Barb);Use the lids as reusable ""paper cups"" for the bathroom.;Fill with colorful liquids and give to children for playing ""store.""  Be sure
that children don't stain their clothes with the color.  (Tschuege);Make it into a vase.  Partially fill it with marbles, stones                     
or something fairly heavy to keep it from tipping.  Then paint it to                      
match your decor.;Remove the cap, cut off the bottom, and use it for a funnel.;Refill the smaller sized bottles (the sample/travel size) with hand cream                     
from your house and keep in it your purse or take it with you when you travel.;Refill the smaller sized bottles (the sample/travel size) with shampoo                     
from your house and keep in it your purse or take it with you when you travel.;Fill the smaller sized bottles with aspirin for your purse, book bag,                      
suitcase, etc.;Fill with sand, rocks, marbles, etc. and use as weights.  Different sized bottles 
can be used to make different sized weights."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Cardboard (those which reams of paper come in),https://www.world.org/reuse/boxes,"Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket."
Boxes--Cereal,https://www.world.org/reuse/boxes,"Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa)"
"Boxes--Food (Cake, Jell-o, Pudding, etc.)",https://www.world.org/reuse/boxes,"Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori)"
Boxes--Shoeboxes,https://www.world.org/reuse/boxes,"Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah)"
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Boxes--Candy,https://www.world.org/reuse/boxes,"Make into a Valentine's Day card for next year.;Cut a heart-shaped box so that you have a flat heart.  Save and let the kids use it as a
template.;Make a Valentine's Day decoration for next year.;Make a Picture Frame.;Cut and use for index
cards.;Use a smaller box for storing paperclips, rubber bands, etc.;Use as a decorative change
holder for your dresser.;Use  as individual recycling boxes for bedrooms.  This will help  keep garbage
from accumulating on desks and dressers (or in my case the floor).;Use for under-the-bed storage by cutting it to make it shorter.;Make it into a bed for a small pet by cutting an entrance and lining it with a
blanket.;Cut into puzzle pieces and let the kids put them together.  When the novelty wears off,
recycle and grab a new box.;Cut and tape them into the size of folders.  Make manilla-type folders or add some extra tape
and make pockets.;Cut into any size index cards.  Use for flash cards, recipe cards, etc.;Use as gift boxes.;Use as an in-tray on your desk at home for mail, papers to be dealt with, etc.;Use pieces for bookmarks.  Write down any ideas that pop into your head while reading.;Make into paper dolls for the kids.;Use for grocery lists.  When you place it in the front of the shopping cart, it won't blow away
like paper will.  (Richard);Cut a big portion out of a corner of the box and use it as a magazine holder.  (Jeffrey and
Diane);Use as a template for making a gift bag.  Wrap paper around it as you
would a package, leaving the top open.  Remove box and punch holes at the top of the two sides
for the string handles.  Leave the box in if you would like a stronger bag.  (Mijesa);Open the boxes carefully to remove the contents.  Then tape the open side shut, and give
them to your kids as cheap building blocks. (Jon's Grandma);Give boxes to pet mice, gerbils or birds for play.  (Lori);Use to hold odds and ends -- just label. (Dennis);Use to store small children's toys. (Dennis);Make into a dollhouse. (Henning);Use to store recipes.;Tape the lids to the boxes, paint them bright colors, and give them to the kids for building
blocks.  (Ms. Myriah);Turn into a doll house."
Plastic Breath Mint Containers,https://www.world.org/reuse/breath.mints,"Fill with aspirin or decongestants and keep in your purse or travel bag.;Fill with salt or pepper and take camping.;Fill with sugar or creamer and take with you in the car when bringing a
thermos of coffee for long road trips."
Bricks,https://www.world.org/reuse/bricks,"Salvage from other people's trash and use for a fancy trim around the
garden.;Salvage (or reuse your own) and make into a walkway.;Use as a weight to hold down plastic garden film.;Turn into bookshelves by stacking bricks at both ends and laying plywood between the bricks."
